time,value,labelMask
97.0584,-0.004883,0
97.0585,0.005798,0
97.0586,0.015411,0
97.0587,0.020752,0
97.0588,0.030365,0
97.0589,0.027618,0
97.059,0.032501,0
97.0591,0.032501,0
97.0592,0.037384,0
97.0593,0.042877,0
97.0594,0.043488,0
97.0595,0.050354,0
97.0596,0.052643,0
97.0597,0.053711,0
97.0598,0.036926,0
97.0599,0.018463,0
97.06,-0.002289,1
97.0601,-0.02655,1
97.0602,-0.048981,1
97.0603,-0.068359,1
97.0604,-0.08667,1
97.0605,-0.104218,1
97.0606,-0.113068,1
97.0607,-0.111694,1
97.0608,-0.119019,1
97.0609,-0.118103,1
97.061,-0.11673,1
97.0611,-0.106659,1
97.0612,-0.100861,1
97.0613,-0.092468,1
97.0614,-0.075073,1
97.0615,-0.059509,1
97.0616,-0.040588,1
97.0617,-0.005951,1
97.0618,0.048065,1
97.0619,0.124512,1
97.062,0.218964,1
97.0621,0.321503,1
97.0622,0.435638,1
97.0623,0.547943,1
97.0624,0.652008,1
97.0625,0.749969,1
97.0626,0.828552,1
97.0627,0.878296,1
97.0628,0.91568,1
97.0629,0.935669,1
97.063,0.93399,1
97.0631,0.911255,1
97.0632,0.86731,1
97.0633,0.782318,1
97.0634,0.661163,1
97.0635,0.513306,1
97.0636,0.341949,1
97.0637,0.141602,1
97.0638,-0.05661,1
97.0639,-0.25238,1
97.064,-0.440063,1
97.0641,-0.609283,1
97.0642,-0.757751,1
97.0643,-0.891876,1
97.0644,-1.002808,1
97.0645,-1.072388,1
97.0646,-1.115265,1
97.0647,-1.135101,1
97.0648,-1.125031,1
97.0649,-1.110077,1
97.065,-1.078796,1
97.0651,-1.028137,1
97.0652,-0.961456,1
97.0653,-0.878906,1
97.0654,-0.771027,1
97.0655,-0.6604,1
97.0656,-0.552673,1
97.0657,-0.442963,1
97.0658,-0.342255,1
97.0659,-0.249939,1
97.066,-0.184784,1
97.0661,-0.119476,1
97.0662,-0.065918,1
97.0663,-0.027771,1
97.0664,-0.003052,1
97.0665,0.026398,1
97.0666,0.045929,1
97.0667,0.061646,1
97.0668,0.075531,1
97.0669,0.084686,1
97.067,0.084076,1
97.0671,0.086975,1
97.0672,0.090637,1
97.0673,0.092316,1
97.0674,0.09079,1
97.0675,0.091705,1
97.0676,0.077057,1
97.0677,0.074615,1
97.0678,0.054016,1
97.0679,0.039825,1
97.068,0.018158,0
97.0681,-0.000153,0
97.0682,-0.017242,0
97.0683,-0.03418,0
97.0684,-0.04364,0
97.0685,-0.053253,0
97.0686,-0.05661,0
97.0687,-0.062256,0
97.0688,-0.053406,0
97.0689,-0.044556,0
97.069,-0.027466,0
97.0691,-0.012817,0
97.0692,0.00473,0
97.0693,0.022125,0
97.0694,0.032349,0
97.0695,0.035095,0
97.0696,0.040436,0
97.0697,0.053711,0
97.0698,0.051727,0
97.0699,0.058594,0
97.07,0.062256,0
97.0701,0.071564,0
97.0702,0.08194,0
97.0703,0.080872,0
97.0704,0.082703,0
97.0705,0.06424,0
97.0706,0.045471,0
97.0707,0.024414,0
97.0708,0.000916,0
97.0709,-0.010986,0
97.071,-0.030365,0
97.0711,-0.045166,0
97.0712,-0.064697,0
97.0713,-0.084076,0
97.0714,-0.102844,0
97.0715,-0.119019,0
97.0716,-0.137024,0
97.0717,-0.143585,0
97.0718,-0.141907,0
97.0719,-0.141296,0
97.072,-0.137024,0
97.0721,-0.133362,0
97.0722,-0.1297,0
97.0723,-0.12207,0
97.0724,-0.121307,0
97.0725,-0.112305,0
97.0726,-0.115356,0
97.0727,-0.108948,0
97.0728,-0.108032,0
97.0729,-0.090027,0
97.073,-0.069275,0
97.0731,-0.063171,0
97.0732,-0.04837,0
97.0733,-0.036621,0
97.0734,-0.025635,0
97.0735,-0.01709,0
97.0736,-0.002899,0
97.0737,-0.001221,0
97.0738,0.011749,0
97.0739,0.006714,0
97.074,0.007782,0
97.0741,0.012512,0
97.0742,0.015259,0
97.0743,0.015411,0
97.0744,0.013123,0
97.0745,0.007477,0
97.0746,0.013733,0
97.0747,0.02121,0
97.0748,0.018311,0
97.0749,0.018616,0
97.075,0.010071,0
97.0751,0.015106,0
97.0752,0.012207,0
